;Topico5
"rt voxlacea lacea thank eafit for great organization of the lacealames16 meet and all the participants for their interest see
";0.9578
"rt iptigeneva organize citizen forums all over colombia could give new ownership of the peace process tpaffenholz uniandes invest
";0.95592
"rt economiauandes documentocede no19 form state through land reform policy the dynamics of baldio allocation in peripheral http
";0.95349
"rt biblioeafit ser lectores comic ven manana miercoles eafit sabras aula fabricato bloque 27 primer piso 600 pm
";0.95347
"hoyeneafit cine club universidad eafit pretty baby bloque 38 aula 110 partir 600 pm esperamos
";0.94771
"hoyeneafit cine club universidad eafit fuego fatuo bloque 38 aula 110 partir 600 pm esperamos
";0.9477
"rt deuniandes circulo participacion salsa uniandes invita segundo taller salsa estilo 15 sep z 213 630 pm labelurl
";0.94758
"rt biblioeafit hoy segunda reunion club lectores comic entrada libre 6 pm tercer piso biblioteca estan inv
";0.94755
"rt biblioeafit ser lectores comic miercoles 15 febrero universidad eafit bloque 27 auditorio 101 entrada libre labelurl
";0.94753
"si pierdes paso mercurio manana preocupes podras volver verlo dentro 33 anos ano 2049 untelevision
";0.9474
"hoyeneafit cine club presenta locuras primavera bloque 38 aula 110 partir 600 pm esp labelurl
";0.94434
"rt filarmonibogota obras geminiani ofjc dirigida federico hoyos estara hoy 700 pm auditorio mario lasern
";0.94433
"hoyeneafit cine club presenta viva maria bloque 38 aula 110 partir 600 pm esperamos labelurl
";0.94431
"hoyeneafit cine club universidad eafit soplo corazon bloque 38 aula 110 partir 600 pm labelurl
";0.94429
"hoyeneafit cine club universidad eafit damage bloque 38 aula 110 partir 600 pm esperamos labelurl
";0.94428
"hoyeneafit cine club universidad eafit atlantic city bloque 38 aula 110 partir 600 pm labelurl
";0.94428
"hoyeneafit cine club universidad eafit amantes bloque 38 aula 110 partir 600 pm esp labelurl
";0.94427
"hoyeneafit cine club universidad eafit adios ninos bloque 38 aula 110 partir 600 pm labelurl
";0.94427
"hoyeneafit cine club universidad eafit zasie metro bloque 38 aula 110 partir 600 pm labelurl
";0.94423
"eafit leon cardona garcia homenaje vida musical sera manana 1 agosto 700 pm auditorio fun labelurl
";0.94417
"eafit invita innovar caso bonem 2 agosto bloque 38 auditorio 101 entrada libre previa inscripcion labelurl
";0.94417
"lapazenfoco paz querida existe deseo paz limita solo tema acuerdo final alaire institucionaltv piensapazunal
";0.94416
"si aprendes cada dia quedas parado quedas atras mario tascon charla dircom unisabana equ labelurl
";0.94411
"my best rts this week come from institucionaltv dibun vriun thanksall who be yours labelurl labelurl
";0.94394
"my best rts this week come from forossemana vriun dibun thanksall who be yours labelurl labelurl
";0.94388
"rt unisabanaradio alicarrillog palabras quedan cortas gracias gracias gracias cada minuto trabajo usr buen viento
";0.94386
"lina quesada recibira premio hewitt william boright hewitt maybelle ellen ball hewitt excelenciauniandes labelurl
";0.94041
"lina quesada recibira premio hewitt william boright hewitt maybelle ellen ball hewitt excelenciauniandes labelurl
";0.94041
"lina quesada recibira premio hewitt william boright hewitt maybelle ellen ball hewitt excelenciauniandes labelurl
";0.94041
"hoyeneafit cine club universidad eafit ascensor cadalso bloque 38 aula 110 partir 600 p labelurl
";0.94032
"hoyeneafit atrevanse innovar caso bonem bloque 38 auditorio 101 entrada libre previa inscripcion labelurl
";0.94032
"henbertcito saludos alturas finales puente vez construido estaran 532 m 604 m cumpliendo norma establecida
";0.94031
"rt disenouniandes mineducacion renueva acreditacion alta calidad disenouniandes uniandes 2025 res 1457 3feb2017 feli
";0.94027
"disfruten familia obra teatro ventana cielo entrada libre boleta 16 noviembre 630 pm labelurl
";0.94024
"disfruten familia obra teatro ventana cielo entrada libre boleta 16 noviembre 630 pm labelurl
";0.94024
"rt aspromer unisabana saludo liza pinzon directora programa mercadeo congreso mercadeo logistica aspromer acompanando labelurl
";0.9402
"presentacion libro ecopetrol 60 anos historia 19512011 530 pm salon maria mercedes carranza labelurl
";0.94019
"hoy santa misa motivo memoria liturgica san josemaria escriva balaguer hora 1220 p m oratorio labelurl
";0.94018
"rt jrestrp recibiendo urosarionews hoy certificacion entidad familiarmente responsable dando valor equilibrio vida personalfamil
";0.94017
"acuerdo tenia do riesgos fundamentales rentabilidad negocio narcotrafico vs implementacion punto drogas h zuleta
";0.94013
"nkemamanda hi amanda you can reach us by email mgomezr2eafiteduco have good day
";0.94011
"rt sofaunisabana recuerdan wachu open english pues viernes enelsofa unisabanaradio interprete adrianlara estara co
";0.9401
"rt ginarytatiana panel 1 colombia africana aun esperamos jockey club urosarioradio urosarionews prensaurosario afrourosario http
";0.94009
"rt mediuniandes felicitaciones dr john mario gonzalez escobar tan importante reconocimiento johnmgonzalez acadcienciacol uni
";0.94009
"rt bibliosabana unisabana olvides velada literaria hoy si fan harrypotter va encantar bienestarsabana htt
";0.94007
"usted ahi pierde afan reviente ahi podemos ver errores negociacion entendiendo ser generosos
";0.94005
"rt economiauandes viernes 23 junio conferencia desarrollo largo plazo instituciones politica historia 20anosescuelaverano http
";0.94004
"alcanzamos meta 400 filantropos acompanan noche 2400 millones pesos carolina angel directora filantropia
";0.93999
"hoy manana entrega kit senek 2016 5k 10k primer piso bloque w gracias apoyar labelurl
";0.93996
"rt danecolombia usuarios centro datos eafit podran acceder servidores dane consultar info especializada microdatos
";0.93994
"charla vivo paz usted william ospina hoy 300 pm auditorio mario laserna inscribase labelurl
";0.93994
"my best rts this week come from institucionaltv vriun thanksall who be yours labelurl labelurl
";0.93989
"hace 50 anos hernando groot nombrado miembro comite mundial expertos enfermedades causadas virus labelurl
";0.93987
"rt cathyjuvinao acceso universal agua potable habra reduccion pobreza experto inguniandes wdsa2016 recomendado http
";0.93978
"hoyeneafit disfruten familia obra teatro ventana cielo entrada libre boleta 630 pm labelurl
";0.93581
"hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl
";0.93579
"rocca marko 93 concierto esperamos manana auditorio fundadores 730 pm entrada libre labelurl
";0.93576
"firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labelurl
";0.93572
"firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labelurl
";0.93572
"firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labelurl
";0.93572
"firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labelurl
";0.93572
"firma quacquarelli symonds califico uniandes cuatro estrellas sistema medicion calidad qs star labelurl
";0.93572
"mediano plazo mafias vuelven logros desarrollo rural marchitan guillermo garcia unodcesp foroungasscol
";0.9357
"profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales labelurl
";0.9357
"noche coral tomara eafit 2 agosto auditorio fundadores partir 630 pm entrada libre labelurl
";0.9357
"rt coninsaramonh alturas finales puente vez construido estaran 532m 604m cumpliendo norma establecida
";0.9357
"profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales labelurl
";0.9357
"profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales labelurl
";0.9357
"profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales labelurl
";0.9357
"profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales labelurl
";0.9357
"profesor john mario gonzalez nuevo miembro academia colombiana ciencias exactas fisicas naturales labelurl
";0.9357
"rt bibliotecaur agua alegoria limpieza transformacion vida obra manantial vida eterna crai culturarte labelurl
";0.93567
"kavaloma saludos dependencia desea comunicarse si desea podemos orientarle traves mensajes directos
";0.93567
"hoyeneafit conversatorio movilidad peatonal sera bloque 19501 partir 500 pm entrada libre labelurl
";0.93565
"hoyeneafit sera homenaje vida musical leon cardona 700 pm auditorio fundadores esperamos labelurl
";0.93565
"rt facisouniandes lenguasnativas memoria abuelo sabedor miru puu voz tukano vaupes margarita becerra labelurl
";0.93563
"libro muestra resultado 60 anos trabajo conjunto 850 cientificos colombianos franceses conozcal labelurl
";0.9356
"fedfernandez problemas tecnicos aire acondicionado apagado bloques informamos area encargada abrir ventanas
";0.93558
"premios gemis reconocen mejores proyectos finales ingenieria sistemas vea gala hoy 500pm labelurl
";0.93558
"rt hablemosdepazur financiacion partido politico farc seria mayor partidos pda alianza verde podri
";0.93558
"sabes iniciativas ciudadanas creado hablar acuerdo hoy 300 pm lapazenfoco institucionaltv untelevision
";0.93557
"incremento consumo heroina sera tema decisivo politicas anti drogas franciscocumsi1 cicadoea foroungasscol
";0.93557
"rt onumujerescol alianza urosarionews potenciara visibilidad temas comun inter participacion mujeres paz belensanzluq
";0.93555
"esperamos manana encuentro cafe ciudad sos aire amenaza continua partir 400 pm labelurl
";0.93555
"informamos dia manana realizara funcion titirifestival debido eafit sera punto votacion domingo
";0.93555
"descubre talento llego hora pintar viii maraton pintura rapida bienestarsabana inscripciones abier labelurl
";0.93554
"areametropol minutos traves facebooklive rueda prensa firma contrato eafit fortalecer trabajo cientifico
";0.93552
"inicia lapazenfoco programa pedagogico apuesta construccion paz hoy paz querida untelevision institucionaltv
";0.93551
"evidencia cientifica frente problema drogas genera tiempo requiere recursos franciscocumsi1 cicadoea foroungasscol
";0.9355
"hoyeneafit disfruten secuenciacion nanopore bloque 38 auditorio 110 500 pm ver mas labelurl
";0.93548
"reglas juego rama judicial operan jep rafael nieto loaiza ex vicemin justicia labelurl
";0.93546
"charla icea estrategias market millennials marzo 28 200 pm 400 pm auditorio k 1 labelurl
";0.93545
"hoy celebraremos 15 anos programa tutoria becarios vemos 200 pm detras canchas g labelurl
";0.93545
"josefina agudelo podemos hacer panorama retador portafolios iniciativas idi ser sostenibles colombiacompite
";0.93544
"rt corresponsables maria teresa audelo kpmg reflexiona participacion mujeres junta directiva foroods eafit
";0.93544
"profesor jeremy waldron new york university school of law nyu estara unisabana labelurl
";0.93543
"rt inguniandes videoque paso bogota prehispanica repleta rios humedales uniandesicya quiere recuperarla suds labelurl
";0.93539
"hoyeneafit presenta amor guerra apeninos xiii ciclo literatura 630 pm ver mas labelurl
";0.93538
"presentacion libro dibujar nacion 14 junio libreria fondo cultura economica 600 pm labelurl
";0.93538
"lleva cultura colombiana peru ayuda demas promocion rural peru inform inscripciones daniellagu labelurl
";0.93537
"colombomedellin hoy primer dia programa liderazgo kyb eafit 6 jovenes nashville aprenden empoderamiento
";0.93537
"rt cancilleriaur entorno social politico economico china charla market estrategia comercial china uro labelurl
";0.93536
"rt hablemosdepazur farc pueden llegar 350mil votos necesarios obtener curul senado todavia sabemos
";0.93535
"ano 1990 logran reducir tasa muertes paises europeos expone mauricio garcia eafit labelurl
";0.93533
"manejar riesgos internet hace falta hablar tema frente evidenciar conductas hacen dano labelurl
";0.93532
"rt apgguzman lucia fraca barrera universidad pedagogica experimental libertador ahora seminario periodistas unisa
";0.93529
"colombia sigue pensando uniones maritales hecho menor categoria inconsciencia social guillermo montoya
";0.93529
"rt sinescosas ecodeksas ciclo agrega valor agendate acompana andres martinez manana 6pm eafit labelurl
";0.93529
"rt fismed iniciamos segunda jornada fismed eafit studioselim estrategias contenidos audiovisuales audiencias juv
";0.93528
"acerca dia internacional danza eafit celebracion sera 28 abril partir 300 pm labelurl
";0.93526
"elca recopila datos impactos pobreza proceso paz 5 regiones colombia mas 290 municipios labelurl
";0.93525
"andres lopera gomez egresado hoy eafit reconoce labor destacada cultura arte deporte labelurl
";0.93522
"cuales retos adultos generar mejores condiciones infancia pais vealo hoy lapazenfoco institucionaltv
";0.93522
"emociona ver sonamos hace 40 anos hoy materializado exito hector ochoa exrector d labelurl
";0.93519
"sachs lider mundial desarrollo sostenible destaco excelencia uniandes liderar nuevo centro pi labelurl
";0.93517
"rt biblioeafit hoy truequeliterarioeafit haremos enfasis proposito hacer cada dia leamos mas universidad
";0.93508
"medida ayudaria evitar 700 muertes ano diabetes enfermedades cardiovasculares cancer agaviriau minsaludcol
";0.93503
"rol juntas accion comunalen colombia hoy lapazenfoco 300 pm institucionaltv piensapazunal uncolombia
";0.93501
"rt biblioeafit hoy pierdan club lectores comic eafit entrada libre previa inscripcion labelurl ht
";0.93499
"hoy 730 pm primer encuentro interuniversitario coros orquestas auditorioleondegreiff entrada libre labelurl
";0.9304
"hoyeneafit pierdan aula fabricato partir 1200 pm catedra asia peninsula coreana
";0.93039
"rt camaraoriente eventoscamara instituciones territorio apoyar proyectos aporten dllo sostenible dr rodrig
";0.93037
"hoyeneafit esperamos tercer conversatorio mesita noche partir 630 pm sala audicion labelurl
";0.93037
"hoyeneafit esperamos conversatorio mesita noche partir 630 pm sala audicion musical labelurl
";0.93037
"alturas finales puente vez construido estaran 532m 604 m cumpliendo norma establecida 4
";0.93037
"rt profebarreto wilmergober dptolaguajira laguajirahoy laguajiragob culturadir mineducacion yanethgiha semanaed laguajira diar
";0.93035
"rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlibro cdraldia
";0.93035
"hora almuerzo visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl
";0.93035
"rt filbogota iniciamos seminario internacional derechos autor marco filbo2017 derechodeautor camlibro cdraldia
";0.93035
"hoy 300 pm auditorioleondegreiff musica colombiana director leonardo marulanda entrada libre labelurl
";0.93034
"hora almorzar visite fopre cafe disfrute variedad platos apoye talento yoapoyoalfopre labelurl
";0.93034
"hernando barragan decano arquitectura diseno nuevo arquitecto diseno jefe arduino orgullouniandes labelurl
";0.93033
"cantos boga sera eafit 4 agosto auditorio fundadores 730 pm vidacultural cultura labelurl
";0.93033
