;Topico4
"rt admonuniandes isdrs2017 last plenary intersectorial panel academy public sector private sector civil society moderator nathali
";0.94742
"rt almorsal iesebs listen to refreeman and cbsuite enjoy the symposium ethicsiese represent inalde and unisabana labelurl
";0.94738
"midase gastos si va pedir prestado conozca bancos cobran maria teresa macias labelurl via eltiempo
";0.94427
"rt maestriaderintl conversatorio climate change after the paris agreement where next annalisa savaressi icetex unisabana labelurl
";0.94404
"jochepacheco hola rutasconflicto recibio premio data journalism award categoria mejor sitio web periodismo datos
";0.94404
"finalizo epemti 2016 santiago loaiza ie rosa maria henao pavas sonson gano beca pregrado labelurl
";0.94398
"rt deportessabana gaby campeona torneo cerros 2016 orgullo sabana unisabana bienestarsabana comsabana eicea sicologiasabana us
";0.94393
"rt derechousabana reciente publicacion diana maria gomez salas amigas lactancia realidad pais eltiempo unisabana ht
";0.9439
"jenny dussan recibio distincion gran cruz orden merito social ambiental baron alexander von humboldt labelurl
";0.94385
"jenny dussan recibio distincion gran cruz orden merito social ambiental baron alexander von humboldt labelurl
";0.94385
"rt rettberga pasa lideres sociales perspectivas pcion pol farcque opinan autoridades locales zonas veredaleshoy uande
";0.94383
"rt niulive unisabana students join niuceet students for intensive industrial systems engineer summer course labelurl
";0.94026
"rt niulive unisabana students join niuceet students for intensive industrial systems engineer summer course labelurl
";0.94026
"rt deportessabana sabana plata bronce voleibol playa ascun bogota 2016 unisabana comsabana eicea bienestarsabana labelurl
";0.94016
"rt anicolombia hoy anicolombia uniandes realizan 4to premio nacional interventoria 2do premio gestion supervi
";0.94005
"rt obsdemocracia proyectotumaco dio voz rostro mujeres narinenses victimas violencia dijeron noeshoradecallar aquiestoy co
";0.94004
"unico queda hacer ahora poner prejuicios deseos inconformidades mesa ahi si hablamos mapatilla
";0.93992
"partir 16 julio ingreso red inalambrica seneca cambiara cara sera mas amigable esperelo labelurl
";0.9399
"partir 16 julio ingreso red inalambrica seneca cambiara cara sera mas amigable esperelo labelurl
";0.9399
"rt serpilopaga si ultimos meses cumpliste mayoria edad debes actualizar datos icetex invitamos seguir
";0.93986
"nico1502 buenas tardes si puedes devolver libro sede quinta mutis problemas gracias atencion
";0.93985
"rt behrentz tragedia mocoa natural miles colombianos habiten zonas aptas tal uso via eltiempo labelurl
";0.9396
"rt ctaunisabana acabamos hablar mundos virtuales secondlife robots videojuegos radio 30 ronguti unisabanaradio pr
";0.93954
"buena parte causas brecha acceso vienen desigualdades previas educacionsuperior maria marta ferreria bancomundiallac
";0.93954
"hola jdavidrojas siguiente link encuentras guia paso paso podras encontrar mas informacion labelurl
";0.93575
"rt posmedunisabana inscripciones abiertas maestria epidemiologia unisabana inicio clases 4 agosto 2017 mayor informacion 3
";0.93565
"prepare bolsillo sobrecostos 2017 actualidad maria teresa macias profesora eicea via eltiempo labelurl
";0.93565
"rt uis orgullouis centro colombiano computacion avanzada iniciara labor universidad apoyado uniandes minister
";0.93563
"proceso paz nacio nacen ninos deseados carino pasar problemas producir acuerdo final
";0.9356
"dianachelareyes saludos gustaria conocer caso comunicarlo areas correspondientes puede contactar via dm
";0.93559
"rt fismed proyectos plan ideas tenes storyline queres producir fismed caracol abren espacio labelurl
";0.93557
"sebastiandiazlo si desea puede enviarnos consulta correo mgomezr2eafiteduco enviarla directamente admisiones manana
";0.93556
"pese crisis colombianos siguen gastando trago cigarrillos opinion giovanni hernandez via eltiempo labelurl
";0.93555
"rt crismaciase emocion humor empatia ingredientes conectar nuevas audiencias amelie ferro sipconnect2017 sipoficial u
";0.93555
"onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapazesposi
";0.93553
"rt alcaldiademed ahora pod participar factura servicios publicos inscripciones comienzan miercoles 19 octubre h
";0.9355
"rt deportessabana seleccion rugby clasifica finales grupo universitario cerros girardot unisabana comsabana eive
";0.93549
"rt admonuniandes international summerschool2017 offer participants the opportunity to attend innovative management course labelurl
";0.93548
"rt admonuniandes international summerschool2017 offer participants the opportunity to attend innovative management course labelurl
";0.93548
"comunidadun siete edificios uncolombia sede bogota tal vez conoces labelurl via civicobogota unparatodos
";0.93547
"rt obsdemocracia noeshoradecallar violencia pareja entendida aprobadapor 28 colombianos si victima hombre 20
";0.93546
"escritora poeta performer arubena rosabelle illes dejo nuevo mensaje buzon 070 filbo2016 labelurl
";0.93546
"rt bluradioco alaire doctora ana maria olaya programa economia unisabana habla parocamionero mananasblu10am
";0.93545
"llega 4to congreso negociacion liderazgo gerenciar proximo 20 21 abril evoluciona ideas
";0.93544
"rt blackboardlatam experto phill miller hablara tedxunisabana lunes 23 mayo stream partir 3pm labelurl
";0.93543
"rt discuniandes invitamos 3er foro ingenieria software proximo 16 agosto forosisis uniandes inguniandes labelurl
";0.93543
"rt almorsal gracias unisabana probogotaregion asocentrocol uniandes bogota camaracomerbog cundinamarcagob invitar inalde in
";0.93541
"rt opusdeicolombia carta prelado 14 febrero 2017 labelurl conclusiones ultimo congreso general celebrado mes
";0.93541
"video conoce mas trae version n25 salon diseno grafico unbogota labelurl via unimedios
";0.93538
"cuatro actores guerra ahora estudian andes hablan reconciliacion ed 49 nota uniandina labelurl
";0.93534
"cuatro actores guerra ahora estudian andes hablan reconciliacion ed 49 nota uniandina labelurl
";0.93534
"rt arqdisua viaje traves arquitectura india ruta corbusier profesora invitada maria cecila obyrne labelurl
";0.93533
"palabras sobran palabras faltan defensa idioma columna jairo valderrama profesor comsabana labelurl espanol
";0.93533
"rt lasabanaabroad conoce becas recursos movilidad internacional unisabana miercoles 12 m salon c106 ht
";0.93532
"rt rectoriauis hoy junto quinterocalle pablonavasuand carlosjaimebh hacemos posible centro colombiano computacion avanz
";0.93532
"rt josearaujop martes empezamos bonita campana claustro urosario comparte mesa devuelve bandeja valoresrosa
";0.9353
"rt usembassybogota conoce mas fulbrightcol evento tedxfulbrightbogota agents of change proximo 28 julio labelurl
";0.93524
"va productividad pais alvaro turriago hoyos profesor economia finanzas eicea via tiempo labelurl
";0.93523
"rt innpulsacol implementamos metodologia rede uniandes pilar metodologia produccion mas limpia aprender haciendo
";0.93521
"rt politicaur medida acabe conflicto armado va subir demanda social claudialopez politicaur urosarion
";0.93515
"rt vocesrcn va haber ligero deterioro materia empleo 2017 incremento tasa desempleo viend
";0.93512
"lanzamiento maestria salud publica posmedunisabana foro postconflicto salud publica colombia junio 30 labelurl
";0.93512
"mientras gran parte comercio corea norte da gracias exporta china camilo pe labelurl
";0.93501
"rt jrestrp dando inicio 4 version concurso bolsamercantil aprender manejar transacciones commmodities urosarionews ec
";0.93501
"rt eicea misionchina eicea dia1 visita universidad uibe charla inversion extranjera comercio internacional labelurl
";0.93478
"ambar resina fosil coniferas puedes encontrar museo paleontologico villa leyva visitalo labelurl
";0.93046
"rt conectateu ethejournal coeditada uniandes uocuniversitat recibio calificacion q1 q2 scopus innovacioneducati
";0.93045
"laucgm buenas tardes estatua fundador elaborada dionisio renart garcia claustro 1909
";0.93045
"punkriodista talionero buenas tardes siguiente enlace podran encontrar toda informacion siar labelurl
";0.93044
"ambar resina fosil coniferas puedes encontrar museo paleontologico villa leyva uncolombia labelurl
";0.93042
"rt epdusabana inscribete 1er simposio abordaje clinico educativo problematicas ninez adolescencia unisabana labelurl
";0.93041
"15 febrero abren inscripciones semestre 20172 consulta guia paso paso aspirantesun labelurl
";0.9304
"fotografias escultura feliza bursztyn homenaje alfonso lopez pumarejo campus sede bogota labelurl
";0.93039
"milton0131 sttmed buenas tardes si restablecida movilidad ambos altura campus universidad
";0.93037
"rt amarantarsula chalocorredor mateomos022 cgurisattintn24 humildes ladrones patria salieron uandes urosario unisabana
";0.93037
"ieco abre convocatoria concurso profesoral2016 encuentra toda informacion aqui labelurl unparatodos iecounacional
";0.93034
"rt cpoliticasus invitamos leer analisis prof igarzonvallejo elcolombiano odebrecht financio campana 2014 labelurl
";0.93031
"barbaros romanos origenes reino visigodo toledo rosa maria sanz serrano unicomplutense labelurl
";0.9303
"rt deportessabana voleibol masculino clasifica finales cerros girardot comsabana bienestarsabana eicea unisabana labelurl
";0.9303
"defensa idioma cuidado palabras virus profesor comsabana jairo valderrama via eltiempo labelurl
";0.9303
"rt comsabana cerrando epoca celebraciones navidenas monis unisabana midieron mannequinchallenge modo na
";0.93029
"informacion unparatodos puedes ver leer escuchar boletinun labelurl untelevision 985unradio unimedios ope
";0.93028
"tras desmovilizacion arduo camino recorrer alp ozerdem investigador procesos paz analisis labelurl
";0.93028
"tras desmovilizacion arduo camino recorrer alp ozerdem investigador procesos paz analisis labelurl
";0.93028
"rt epdusabana hoy realiza 1er simposio abordaje clinico educativo problematicas ninez adolescencia labelurl
";0.93026
