;Topico2
"bdrpadillach pocos dias amigos pa inicie sodacirque7d by cirque du soleil promos si pagan bancosaval magiaenelaire
";0.95077
"fabioariascut viva paro nacional magisterio viva paz pliego estatal fecode abajo pnd viva minga indigena
";0.9479
"fabioariascut viva paro nacional magisterio viva paz pliego estatal fecode abajo pnd viva minga indigena
";0.9479
"petrogustavo encuesta cmi ayer muestra primera vez cinco siglos hijo pueblo puede gobernar colombia progra
";0.94769
"petrogustavo encuesta cmi ayer muestra primera vez cinco siglos hijo pueblo puede gobernar colombia progra
";0.94769
"workingpaper 1037 by carlos leon and fabio ortega forecast labelurl let us know what you think
";0.94759
"alexlopezmaya gran tragedia mas 14 millones d trabajadors salario fijo seg social exijamos modelo eco distinto htt
";0.94748
"alexlopezmaya gran tragedia mas 14 millones d trabajadors salario fijo seg social exijamos modelo eco distinto htt
";0.94748
"elhectorhh felicidades usofrenteobrero ayer cumplio 96 anos lucha resistencia defensa clase obrera nnla conmemorac
";0.94443
"mlorozco78 usofrenteobrero ecopetrolsa minminas mintrabajocol mafsul baena aliciaarango viva union sindical obrera viva viv
";0.94443
"elhectorhh felicidades usofrenteobrero ayer cumplio 96 anos lucha resistencia defensa clase obrera nnla conmemorac
";0.94443
"usocasabe dia hoy usocasabe comision nacional ddhh uso instalan taller ddhh municio yondo apor
";0.94439
"usocasabe dia hoy usocasabe comision nacional ddhh uso instalan taller ddhh municio yondo apor
";0.94439
"danielsossa9 hace quince dias finalizo contrato comercial prestacion primer nivel salud policlinica barrancabermeja eseb
";0.94424
"danielsossa9 hace quince dias finalizo contrato comercial prestacion primer nivel salud policlinica barrancabermeja eseb
";0.94424
"bcavirtual acabo ver ecopetrol uso firmaron nueva convencion colectiva trabajo 20182022 palmaedwin usofrenteobrero us
";0.9442
"muchas malas razones empezar empresa solo buena razon creo sabes cambiar mundo phil libin
";0.94415
"muchas malas razones empezar empresa solo buena razon creo sabes cambiar mundo phil libin
";0.94415
"jsanchezcristo si arquitecto simon velez si j9 javier marin si tampoco loco barrera pla
";0.94411
"jsanchezcristo si arquitecto simon velez si j9 javier marin si tampoco loco barrera pla
";0.94411
"usofrenteobrero usofrenteobrero decidido denunciar penalmente orlando diaz montoya sonia prada omar mauricio gomez funcion
";0.94408
"comision derechos humanos paz union sindical obrera uso hace llegar calido saludo colectivo labelurl
";0.94046
"aorgulloso persiste negociacion uso usofrenteobrero ecopetrolsa sindicato insiste lograr acuerdo colectivo q incluya form
";0.94044
"aocampon trabajadores contratistas campo rubiales meta manifiestan apoyo total usofrenteobrero usometa hectorvaca lac
";0.94044
"bluradioco registraduria emite primer boletin consultaliberal 2696 mesas escrutadas delacallehum 54685 votos cri
";0.94042
