;Topico2
"rt lacealames2016 if you havent register to lacealames16 just click the link come to learn and interact with renowned economists ht
";0.95985
"rt voxlacea lacea thank eafit for great organization of the lacealames16 meet and all the participants for their interest see
";0.95836
"how to adapt the social model in the age of polarization jeanolivier hairault paris school of economics labelurl
";0.95543
"rt biomedcentral from acclimation to adaptation the plastic life of caribbean soft coral by biommar labelurl unian
";0.95111
"feliz noche comunidadun deseamos gran final ano 2015 comienzo 2016 lleno mejor somosun uncolombia
";0.94912
"dublin institute of technology centenary scholarship programme for more information please visit our website labelurl
";0.94839
"rt economiauandes documentocede no25 the effect of child disability on parent labour supply evidence from colombia labelurl
";0.94835
"rt fisicauniandes estan invitados coloquio evento third andean school on nuclear physics 2428 julio 2017 labelurl
";0.94781
"finalizar gran dia opera the medium video canal institucional untelevision labelurl feliz noche comunidadun
";0.94605
"feliz noche comunidadun terminemos miercoles mejor actitud tener gran resto semana sedesun uncolombia
";0.94593
"rt unisabanaradio excusa recuerda puedes escuchar usr tunein radio app radio garden unisabana app yoescuchousr
";0.94583
"comunidadun terminamos dia mejor energia tener unas grandes vacaciones deseamos feliz diciembre unparatodos
";0.94572
"feliz noche comunidadun deseamos gran viernes feliz fin semana lunes esperamos mas unparatodos
";0.94558
"comunidadun terminemos dia mejor actitud toda buena energia tener excelente semana feliznoche unparatodos
";0.94551
"zamir0290 buenos dias favor envianos datos contacto mensaje interno atender solicitud gracias atencion
";0.94533
"rt bienestarsabana espacios libres humo estan senalizados encuentren mal parado respiremos aire mas pu
";0.94509
"buenos dias unparatodos gracias nuevos seguidores ser parte gran comunidadun somosun felizmartes unal
";0.94498
"felizmartes buenos dias unparatodos gracias nuevos seguidores hacer parte gran comunidadun somosun unal
";0.94496
"terminar ano queremos decir gracias ser parte gran comunidadun 2016 regresamos mas unparatodos
";0.94457
"rt obsdemocracia proyectotumaco dio voz rostro mujeres narinenses victimas violencia dijeron noeshoradecallar aquiestoy co
";0.94422
"the complexities of truth tell for trust reintegration and peace seminario internacional desafios paz labelurl
";0.94396
"principios siglo xx medellin interpretaba musica salon musica adaptaba bandas lira fernando gil
";0.94355
"rt obsdemocracia invitados esperamos cafe digital datos gobierno abierto manana jueves mas informacion aqui labelurl
";0.9432
"comunidadun 257 votos recibimos 81 participantes cree acuerdo paz debe ser firmado uncolombia
";0.9432
"si facebook paispor cantidad usuariosseria mas grande china india tallerdelideres socialmedia rede ramiroparias
";0.94303
"rt ctaunisabana acabamos hablar mundos virtuales secondlife robots videojuegos radio 30 ronguti unisabanaradio pr
";0.94281
"finalicemos gran semana videos unparatodos youtube canal oficial uncolombia labelurl feliz fin semana
";0.94225
"feliz comienzo viernes comunidadun deseamos gran dia mejor fin semana unparatodos uncolombia labelurl
";0.94204
"comienza dia descargando aplicacion circularun celular enterate actividades unparatodos disponible ios android
";0.94195
"comunidadun terminemos semana mejor actitud tener gran fin semana lunes mas unparatodos
";0.94173
"buenviernes toda comunidadun acompana diariamente rede sociales oficiales deseamos gran dia somosun
";0.94167
"buenos dias comunidadun bienvenidos nuevo dia uncolombia deseamos gran dia felizjueves unparatodos
";0.94149
"feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos
";0.94146
"feliz noche comunidadun deseamos gran fin semana descanso lunes esperamos mas unparatodos
";0.94146
"feliz martes comunidadun hoy mejor actitud tener mejor dias somosun orgulloun unparatodos
";0.94146
"buenos dias comunidadun deseamos felizjueves toda energia tener gran dia universidad somosun
";0.94143
"comunidadun feliz miercoles deseamos excelente dia mejor energia hoy resto semana somosun
";0.94135
"feliz noche comunidad esperamos gran fin semana lunes regresamos mas informacion unparatodos
";0.94128
"rt fismed hoy comenzamos travesia tres dias hoy compartiremos eafit placer contar historias bienvenidos
";0.94125
"lauhcortes buenos dias caso dudas inconvenientes plataforma puedes comunicarte 4225321 ext 3333
";0.94114
"acabo dia alcanzaste pasar biblioteca atencion 247 31 mes aprovecha noche somosun
";0.94108
"si propone redactar documento mas confuso comunicado 69 habana consigue guillermobotero fenalconacional
";0.94102
"bojaya votamos 96 si teniamos todas razones votar padre antun ramos lapazesposible
";0.94088
"rt josearaujop martes empezamos bonita campana claustro urosario comparte mesa devuelve bandeja valoresrosa
";0.94087
"natasha kanape refleja poesia deseo cambiar mundo cuida rlo ingrid bejerman haymedellin17 labelurl
";0.94086
"rt obsdemocracia participe tan probable cree logre consenso salvar acuerdo paz finalizar 2016 http
";0.94084
"senal encuentra ubicada metros obra semana pasada coninsa ramon h instalo pasacalles informacion 5
";0.94082
"buenos dias comunidadun comencemos dia conociendo mas proyecto ley 047 labelurl uncolombia diegofhl
";0.94081
"preguntaron carl langebaek vicerrector academico si disminuira carga academica periodos ocho seman labelurl
";0.94075
"laespira saludos lamentamos error mensaje anterior efectivamente evento jueves 27 gracias contactarnos
";0.94055
"culturaun medellin urbes horas climas nueva exposicion biblioteca efe gomez unmedellin labelurl unimedios
";0.94037
"comunidadun vas salir oficina casa mas 1 hora recuerda apagar computador luces ahorraun
";0.94036
"andfel05 saludos error corregido puede volver ingresar oferta conocer informacion feliz dia
";0.94027
"unparatodos conoce mas proyecto fritz karsen deje huella labelurl via semanaed oribogota unbogota
";0.94022
"video conoce mas trae version n25 salon diseno grafico unbogota labelurl via unimedios
";0.94012
"comunidadun siete edificios uncolombia sede bogota tal vez conoces labelurl via civicobogota unparatodos
";0.93966
"rt educaunisabana buenasnoticias mas 300 obras disponibles 24 horas dia siete dias semana unisabana labelurl
";0.93951
"riveracamilaaa buenas tardes favor envianos datos mensaje interno atender solicitud gracias atencion
";0.93904
"prueba nuevo combo restauranteescuela sandwich pollo galleta mantequilla mani coca cola ed labelurl
";0.93903
"onues encabeza mecanismo monitoreo verificacion junto delegados gobierno farc lcvillegas foro lapazesposi
";0.93898
"rt antvisible cordial saludo invitamos participar iii foro seguimiento legislativo herramienta rendicion cuenta
";0.93894
"sondeo usted acuerdo proyecto ciudad can retira predios da unal opine aqui labelurl
";0.93892
"rt consejoech animate participa viernes narracion cuentos taller munecas quitapenas urosarioradio dmuur ht
";0.93852
"300 pm institucionaltv lapazenfoco frbarbosa74 dejusticia rodrigo uprimny camilo borrero piensapazunal unparatodos
";0.93824
"descubre talento llego hora pintar viii maraton pintura rapida bienestarsabana inscripciones abier labelurl
";0.93818
"27 enero invitamos ser parte evento cierre haymedellin17 junto crewpeligrosos ver mas labelurl
";0.93759
"recuerda programarte eventos uncolombia descargando aplicacion circularun feliz fin semana comunidadun
";0.93742
"comunidadun recuerda descargar aplicacion circularun programate eventos actividades unparatodos ios android
";0.93737
"terminar dia conoce noticias ver leer escuchar boletinun labelurl unparatodos feliz noche
";0.93733
"comunidadun recuerda programarte actividades eventos academicos culturales uncolombia descargando app circularun
";0.93732
"paz podra traer beneficios supone inversiones importantes permitan cobrar dividendos jrestrp beneficiosdelapaz
";0.93727
"terminar gran dia informacion ver leer escuchar boletinun labelurl feliz noche comunidadun
";0.93726
"noche dejamos consejos expresatebien comunicate mejor campanaun labelurl feliz noche feliz viernes
";0.93724
"comunidadun encuentra informacion ver leer escuchar aqui labelurl boletinun unimedios 985unradio untelevision
";0.93723
"terminamos gran dia coninformacion unparatodos ver leer escuchar labelurl 985unradio unimedios untelevision
";0.93722
"terminemos dia informacion unparatodos ver leer escuchar labelurl boletinun unimedios feliz noche
";0.93722
"comunidadun programate actividades eventos uncolombia ano descargando app circularun feliz noche
";0.93722
"buenos dias comunidadun comenzamos dia informacion ver leer escuchar labelurl boletinun unimedios
";0.9372
"ingresa circularun programate asistir actividades eventos unparatodos feliz fin semana comunidadun
";0.93718
"buenos dias comenzamos dia compartiendo ustedes canal oficial youtube suscribete labelurl somosun
";0.93718
"informacion unparatodos puedes ver leer escuchar boletinun labelurl untelevision 985unradio unimedios ope
";0.93715
