;Topico1
"rt biblioeafit ser lectores comic ven manana miercoles eafit sabras aula fabricato bloque 27 primer piso 600 pm
";0.95529
"elmimori saludos taquillas bloque 29 primer piso funcionan lunes viernes 800 be 1200 pm 200 600 pm
";0.9552
"danos asociados consumo drogas tambien pueden ser tratados salud publica yesid reyes ex min justicia foroungasscol
";0.95207
"hoyeneafit cine club universidad eafit pretty baby bloque 38 aula 110 partir 600 pm esperamos
";0.94985
"manicomio munecos universidad eafit presentan amigo pinchudo domingo 23 octubre 1100 be entrada libre boleta
";0.94981
"hoy damos inicio cineclub chaplin charlie vida obra charles bloque 18 auditorio 110 600 pm labelurl
";0.94972
"rt biblioeafit ser lectores comic miercoles 15 febrero universidad eafit bloque 27 auditorio 101 entrada libre labelurl
";0.94963
"rt cdepsocial dr juan luis mejia rector eafit expone importancia universidades gestion ods aplicacion formacion anti
";0.94961
"rt onuhumanrights hoy catedra gratuita derechos humanos comunicacion universidad eafit tema derechos etnicos organizan onu ddhh
";0.94949
"1913 clave muere mejia segun textos interpreta primera vez himno ano horizontes cano jl mejia
";0.94926
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94912
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94912
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94912
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94912
"simposio politica medio oriente despues trump 10 mayo 900 be auditorio mario laserna vea mas labelurl
";0.94912
"rt laciudadverde necesitamos ciudades cada vez mas lentas ir cada vez paradojicamente mas rapido rzapatal eafit labelurl
";0.94902
"hoyeneafit cine club universidad eafit lacombe lucien bloque 38 aula 110 partir 600 pm labelurl
";0.94651
"hoyeneafit cine club universidad eafit damage bloque 38 aula 110 partir 600 pm esperamos labelurl
";0.9465
"estructura provisional puente peatonal construye eafit 440 m carril sur norte 420 m carril norte sur 1
";0.94649
"hoyeneafit cine club universidad eafit zasie metro bloque 38 aula 110 partir 600 pm labelurl
";0.94646
"hoyeneafit cine club universidad eafit soplo corazon bloque 38 aula 110 partir 600 pm labelurl
";0.94642
"cienciaseafit invitacion terrestres extraterrestres jueves 16 marzo 400 pm auditorio 101 bloque 38 eafit
";0.9464
"hoyeneafit cine club universidad eafit atlantic city bloque 38 aula 110 partir 600 pm labelurl
";0.94638
"hoyeneafit nueva jornada donacion sangre esperamos 900 be 500 pm lugar placa cubierta teni labelurl
";0.94626
"hoyeneafit cine club universidad eafit ladron paris bloque 38 aula 110 partir 600 pm l labelurl
";0.94625
"rt educaunisabana hoy continua ciclo pedagogia francesa siglo xx tema compresion educando educador edouard cla
";0.94624
"conferencia inaugural sera eafit 11 agosto auditorio 38 110 900 be 1200 m ver mas labelurl
";0.94621
"rt comsocialeafit jonathan kubben hizo rede social fuente ingreso estara eafit dando tip ser instag
";0.94589
"rt comfama 12 hoy 12m dialogo empresarial paz reto colectivo espacio reflexion rol empresarios constr
";0.94588
"hoy manana realizara eafit mision rectores region occidente plan nacional colegio 10 tic 36 labelurl
";0.9458
"hoy hace 68 anos 29 marzo 1949 dio primera clase universidad recuerdas primera clas labelurl
";0.94563
"rt upbcolombia desarrollo palabra mutante debe interpretarse acuerdo contexto cada epoca juan luis mejia eafit
";0.94548
"proteccion salud bienestar finalidad principal convenciones lucha drogas yesid reyes ex min justicia foroungasscol
";0.94543
"rt apgguzman 70 mil empresas emprendedoras nacen cada ano colombia buscan nuevas oportunidades mincomercioco universidadyempres
";0.94529
"rt camaraoriente eventoscamara dr juan felipe mejia decano escuela d economiafinanzas d eafit presenta estudio realizado dll
";0.94521
"permanecer silencio si america latina migracion crece 17 anual rector jrestrp congreso internacional migracion
";0.94521
"hoyeneafit catedra flip eafit comunicacion politica libertad prensa 900 be 1230 pm esperam labelurl
";0.94268
"hoyeneafit cine club universidad eafit ascensor cadalso bloque 38 aula 110 partir 600 p labelurl
";0.94267
"manana pierdan segunda sesion catedra flipeafit esperamos entrada libre bloque 38101 830 be labelurl
";0.94265
"eafit dara catedra multilatinas chilenas proximo jueves 27 auditorio fabricato 27 101 partir labelurl
";0.94262
"rt educaunisabana manana partir 7 be vi congreso internacional pedagogia infancia yoconstruyopaz auditorio saulo gil
";0.94258
"invitacion 25 anos constitucion politica examen promesas 25 octubre 800 be auditorio 381 labelurl
";0.94258
"manana pierdan tercera sesion catedra flipeafit esperamos entrada libre bloque 38101 900 be labelurl
";0.94255
"recuerden jueves tercera sesion catedra flipeafit falten entrada libre bloque 38101 900 be labelurl
";0.94254
"eafit inicia taller internacionalizacion 10 agosto 800 be 500 pm auditorio 19 501 labelurl
";0.9425
"ungass2016 reconocio ddhh componente interpretacion lucha drogas yesid reyes ex min justicia foroungasscol
";0.94241
"hoyeneafit invita hacer parte cineclub chaplin obra vida perro bloque 38 auditorio 110 labelurl
";0.94238
"rt otraparte otraparte editorial eafit invita jueves 15 junio presentacion sexo saxofon casa muse
";0.94237
"comenzo eafit xvii encuentro epemti conmemora 20 anos red media tecnica informatica antio labelurl
";0.94231
"coninsaco cuenta 18 20 febrero habra cierre avenida vegas call 4 sur 12 sur
";0.9423
"mundo construyo politica actual drogas existe yesid reyes alvarado ex ministro justicia foroungasscol
";0.94228
"rt areametropol partir hoy siatamedellin proyecta aun mas instrumento calidaddelaire juan luis mejia rector
";0.94227
"rt educaunisabana mas 200 personas auditorio david mejia velilla conferencia doctor daniel wilson universidad
";0.94227
"triaje presenta nueva creacion acurrulada martes 18 octubre auditorio fundadores entrada libre si labelurl
";0.94226
"rt ciscomobility how be cisco help eafit transform classroom learn read labelurl via dohnjoe edtech labelurl
";0.94226
"manana primer foro regional nestor humberto martinez fiscal general nacion auditorio fundadores 730 labelurl
";0.94225
"rector eafit juan luis mejia arango inicia seminario triptico hablando nuevo mundo recorrido labelurl
";0.94222
"juan luis mejia rector eafit habla importancia expediciones evolucion botanica lograr avances cientificos
";0.94222
"momento ingreso campus eafit solo realiza porterias ubicadas via servicio avenida regional 11
";0.94221
"hoy vemos sector floricultor consciente desarrollo depende agenda sostenibilidad manuel acevedo ods ods2030
";0.94221
"rt lowcarboncity acompananos proximo viernes foro acceso energia renovable perspectivas social economica tecnologica eafit
";0.9422
"nkemamanda hi amanda you can reach us by email mgomezr2eafiteduco have good day
";0.94216
"13 15 febrero auditorio fundadores grupo escenico universidad eafit presenta vacio ver ma labelurl
";0.94215
"lfarboledag seguimos impulsando educacion pais 240 empleos 13000 estudiantes nuevo centro idiomas eafit
";0.94214
"rt areametropol rector eafit juan luis mejia reflexiona necesidad humanizar traves cultura acuerdos paz
";0.94211
"rt economicasudea pocos minutos gcanavire profesor eafit habla innovacion infraestructura transporte urbano crimen htt
";0.94205
"rt udistrital siembraton cada arbol siembras garantizas agua 3 personas unete sabado15 julio 7am jornada p
";0.94204
"rt urbameafit urbameafit sera sede premiacion proyectos nueva agenda urbana 23 febrero eafit lanetwork labelurl
";0.94204
"bienvenidos willkommen welcome bem vindos bienvenue hoy eafit saluda 142 estudiantes extranjeros llegan labelurl
";0.94202
"conmemoramos 40 anos programa siempre aportado sociedad juan luis mejia arango rector eafit labelurl
";0.942
"hoyeneafit 730 be recibimos fiscal general nacion nestor humberto martinez primer foro re labelurl
";0.942
"reto capitales sera 8 agosto eafit invitamos participar 200 pm bloque 17 primer piso labelurl
";0.94192
"rt comfama fabiola saavedra docente eafit habla pertinencia educacion universitaria colombia efectos mercados laborale
";0.94179
"hoy gente muere mas calidad aire calidad agua alejandro alvarez docente eafit sosporelaire
";0.94178
"rt bicirio 289 estudiantes rionegro recibieron hoy bicicletas ir colegio gracias aporte alcrionegro minedu
";0.94177
"colombia consiguio gran mayoria cosas propuso ungass2016 yesid reyes ex min justicia foroungasscol
";0.9417
"si vives cedritos nueva parada trenusabana av 9 147 puede servir clase 700 be labelurl
";0.94168
"call for paper ethejournal mix methods research in educational technology in higher education labelurl
";0.94166
"rt anicolombia hoy anicolombia uniandes realizan 4to premio nacional interventoria 2do premio gestion supervi
";0.94164
"sostenibilidad incentivo desarrollo empresarial pues ayuda redefinir mision posicion manuel acevedo ods2030 ods
";0.94159
"manana evento conmemorativo 25 anos constitucion politica examen promesas 800 be bloque 38 1 labelurl
";0.94155
"votaron si sabian mas votaron sabian menos sabian solo parte querian defender n montero
";0.94152
"rt areametropol siatamedellin comenzo manera rudimentaria proyecto tesis pregrado hoy modelo america latina ju
";0.94151
"empresas flores piden investigacion modelos negocio preocupan biodiversidad pais manuel acevedo ods2030 ods
";0.94148
"usted ahi pierde afan reviente ahi podemos ver errores negociacion entendiendo ser generosos
";0.94144
"impulsar desarrollo economico pais si hacemos juntos podemos ir mas mclacouture foro universidadyempresa
";0.94143
"rt educaunisabana inicia acto academico 40 anos facultad intervencion senor rector obdulio velasquez uni
";0.94142
"resultados elca 2010 2017 hogares mujeres cabeza hogar pasaron 35 39 zonas urbanas labelurl
";0.9414
"rt facisouniandes inauguramos coleccion nuevas voces obras nina cabra cristina perez hugo fazio somoscienciassociales
";0.94131
"rt inalde quejas gran regalo reciben empresas ayudan mejorar yago cierva inalde unisabana comsabana h
";0.94128
"rt hernanolano viernes cdhec 1015 be tarde clase doctorado uaneosos uanetorreon uanemx unisabana derech
";0.94127
"rt udea buena noticia udea eafit logran patente tratar aneurismas cerebrales recurrir cirugias abiertaslabelurl
";0.94098
"hoyeneafit manicomio munecos universidad eafit presentan amigo pinchudo 1100 be entrada libre labelurl
";0.93834
"rt alcaldiademed acercate tomes foto 830 be 1100 be 200 pm 430 pm 2
";0.93833
"hoyeneafit cineclub chaplin obra vida obra charles partir 600 pm entrada libre labelurl
";0.93831
"hoyeneafit conferencia miguel robles auditorio 19522 600 pm entrada libre invita urbameafit labelurl
";0.93831
"hoyeneafit 25 anos constitucion politica examen promesas 800 be auditorio 38101 invitan
";0.93827
"recuerden conferencia wade davis auditorio fundadores 630 pm entrada libre cupos limitados
";0.93825
"manana esperamos debate paz convivencia seguridad codigo policia ciudad medellin auditorio central
";0.93825
"hoyeneafit esperamos segunda sesion catedra flipeafit partir 830 be bloque 38101 entrada labelurl
";0.93823
"viernes sera catedra flip eafit comunicacion politica libertad prensa entrada libre registrarse labelurl
";0.93821
"pierdan manana casa museo otraparte presentacion libro sexo saxofon partir 730 pm labelurl
";0.93821
"eafit invita secuenciacion nanopore 31 julio bloque 38110 500 pm 600 pm labelurl
";0.9382
"esperamos proximo lunes conferencia medellin espacio publico partir 1000 be bloque 381 labelurl
";0.93818
"recuerden 27 marzo conferencia medellin espacio publico esperamos bloque 38101 1000 be labelurl
";0.93817
