;Topico3
"colcapital so happy to have our special guest ralphsimon1 in our annual assembly colcapital with the support of fiduoccidente
";0.96094
"julianabdiaz lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota dc
";0.95108
"franciscotruba lugar evento cambiado realizara hotel radisson avenida 60 2299 salon ar total bogota dc
";0.95108
"juanproldan latamco hola juan pablo permitenos ayudarte envianos caso dm validar area encargada quedamos atentos
";0.94991
"zerepbox sfcsupervisor buenos dias escribenos favor mensaje interno revisar caso area encargada quedamos atentos
";0.94987
"pasteldecubios buenos dias permitenos ayudarte escribemos favor dm revisar caso area encargada quedamos atentos
";0.94987
"dared76holguin buenos dias danny envianos datos contacto dm revisar caso area encargada quedamos atentos
";0.94982
"ifosforito buenos dias juanita envianos datos contacto dm revisar caso area encargada quedamos atentos
";0.94982
"andresguero buenos dias andres envianos datos contacto dm revisar caso area encargada quedamos atentos
";0.9498
"gloriai4 curramberillo buenos dias gloria permitenos ayudarte envianos caso datos contacto dm quedamos atentos
";0.94979
"jorgearmandoo hola jorge favor envianos datos contacto via dm remitir caso area encargada quedamos atentos
";0.94978
"jorsleo buenos dias jorge envianos datos contacto dm revisar caso area encargada quedamos atentos
";0.94977
"jorsleo buenos dias jorge permitenos colaborarte envianos datos contacto dm revisar caso area encargada
";0.94977
"carias142 buenos dias carlos permitenos colaborarte envianos caso datos contacto dm gestionarlo area encargada
";0.94977
"curramberillo gloriai4 buenos dias jota permitenos ayudarte envianos caso datos contacto dm quedamos atentos
";0.94971
"andrearrengifo sfcsupervisor favor cuentanos caso via dm colaborarte junto datos personales quedamos atentos saludos
";0.94966
"luperezan hola luperezan dejanos saber podemos ayudarte favor siguenos contactarnos contigo via dm quedamos atentos
";0.94964
"carlsua carlos favor envianos datos dm nombre completo cedula telefono comunicarnos contigo buen dia
";0.94958
"jairoqra buenas tardes jairo envianos numero contacto dm enviar caso area encargada quedamos atentos
";0.94946
"hola cerocarreta lamentamos molestias gustaria conocer detalle caso darte soluciones puedes escribirnos via dm saludos
";0.94945
"hola pacaletosa gustaria conocer detalle caso puedes contarnos via dm generar soluciones area encargada gracias
";0.94936
"jorgearmandoo buenos dias jorge favor envianos datos personales via dm colaborarte caso feliz dia
";0.94933
"vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera quedamos atentos
";0.9488
"vicente1106 sfcsupervisor buen dia favor escribenos mensaje interno poder asesorarte mejor manera quedamos atentos
";0.9488
"jnn59 hola jaime cuentanos si pudiste realizar operacion necesitabas envianos caso datos contacto dm saludos
";0.94863
"evento bogota seminariodeeconomia 510 wall street or main street who to bail out 07022018 labelurl
";0.94783
"evento cali conferencia separate state dependence experience and heterogeneity in model of youth crime labelurl
";0.94774
"kevinptztos hola kevin gracias escribirnos 3 dias habiles si extracto digital si fisico 5 dias feliz navidad
";0.94745
"hola gatomansoskull gustaria saber mas caso puedes favor contarnos detalle via dm asi poder darte soluciones
";0.94705
"evento bogota seminariodeeconomia 503 borrow cost and the role of multilateral development bank evide labelurl
";0.94681
"dacabe2 hola daniel permitenos ayudarte envianos detalles caso dm revisarlo area encargada quedamos atentos
";0.94643
"g3rbar hola german permitenos ayudarte escribenos detalles caso dm revisarlo area encargada quedamos atentos
";0.94642
"devoralibro hola clau permitenos ayudarte escribenos favor interno revisar caso area encargada quedamos atentos
";0.94642
"jexa10 hola jenny permitenos ayudarte escribenos favor interno revisar caso area encargada quedamos atentos
";0.94642
"civavior hola vane permitenos ayudarte escribenos dm detalles caso revisarlo area encargada quedamos atentos
";0.94642
"natafranm yubertsanchez nathaly gracias escribirnos cuentanos detalles caso dm poder colaborarte quedamos atentos
";0.9464
"evento bogota seminariodeeconomia 506 the power of money the consequences of elect donorfunded polit labelurl
";0.94639
"evento bogota seminariodeeconomia 506 the power of money the consequences of elect donorfunded polit labelurl
";0.94639
"cadripg hola adriana favor amplianos dm detalles ocurrido validar caso area encargada quedamos atentos
";0.94638
"nayibsk8 hola juan permitenos ayudarte escribenos favor dm revisar caso area encargada quedamos atentos
";0.94638
"sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos atentos
";0.94636
"jvsalaz cuentanos dm detalles caso envianos datos contacto validarlos area encargada quedamos atentos
";0.94636
"cforeroo hola boris escribenos favor dm alli solicitaremos datos adicionales revisar caso quedamos atentos
";0.94636
"sarahtoroe hola sarah gracias escribirnos envianos datos dm gestionar caso area encaragada quedamos atentos
";0.94636
"jacorame javier gracias escribirnos favor cuentanos detalle caso dm poder ayudarte quedamos atentos
";0.94635
"jforero2 sfcsupervisor hola jimmy permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos
";0.94635
"estepar97 hola esteban permitenos ayudarte escribenos favor dm revisar caso area encargada quedamos atentos
";0.94634
"julianazpt sfcsupervisor juliana gracias escribirnos envianos caso datos contacto dm ayudarte quedamos atentos
";0.94634
"camilobolanos10 juan camilo gracias escribirnos envianos caso dm gestionarlo area encargada quedamos atentos
";0.94634
"mricardoangel favor envianos mensaje directo datos contactarte nombre completo telefono cedula quedamos atentos
";0.94633
"krakenm22 hola karen permitenos ayudarte envianos favor detalles caso dm revisarlo area encargada saludos
";0.94632
"imhenry sfcsupervisor hola henry permitenos ayudarte envianos caso dm revisarlo area encargada quedamos atentos
";0.94631
"merrui hola maria mercedes permitenos colaborarte envianos caso dm gestionarlo area encargada quedamos atentos
";0.94631
"fiajeniffer permitenos ayudarte envianos caso datos contacto dm revisar caso area encargada saludos
";0.9463
"carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area encargada
";0.9463
"carlcat17 sfcsupervisor carlos permitenos ayudarte envianos datos contacto dm revisar caso area encargada
";0.9463
"eebedoya buenas tardes edward envianos caso datos contacto dm revisarlo area encargada saludos
";0.94627
"hectorcham buenos dias hector envianos caso numero contacto enviarlo area encargada quedamos atentos
";0.94627
"ajuliansh hola julian favor envianos datos nombre completo cedula telefono comunicarnos contigo quedamos atentos
";0.94626
"jack01287 jorge favor envianos datos personales dm revisar caso area encargada quedamos atentos
";0.94626
"jhonmera jhon permitenos ayudarte envianos dm caso junto datos contacto colaborarte quedamos atentos
";0.94625
"alrola hola alvaro gracias escribirnos envianos dm caso junto datos contacto colaborarte quedamos atentos
";0.94624
"erimarcor buenos dias erica permitenos ayudarte envianos caso datos contacto dm quedamos atentos
";0.94623
"juliabad89 juliana amplianos favor informacion acerca ocurrido dm validar podemos ayudarte quedamos atentps
";0.94623
"divagandoando buenos dias envianos datos contacto dm validar caso area encargada quedamos atentos
";0.94622
"kaka1255 buenos dias daniel permitenos ayudarte envianos caso datos contacto dm quedamos atentos
";0.94622
"nstriana buenos dias nayhua permitenos ayudarte envianos caso datos contacto dm quedamos atentos
";0.94622
"jeantmedrano buenos dias jeant permitenos ayudarte envianos caso datos contacto dm quedamos atentos
";0.94622
"andresmunozaym buenos dias permitenos ayudarte envianos caso datos contacto dm colaborarte quedamos atentos
";0.94622
"vamosandrey andrey favor envianos dm detalles caso pantallazo si poder colaborarte quedamos atentos
";0.9462
"rabedo86 buenas tardes rabedo86 contactanos via mensaje directo poder atender solicitud atentos saludos
";0.9462
"rubenlopezs buenas tardes rubenlopezs favor contactanos via mensaje directo atender solicitud atentos saludos
";0.94619
"gydoar buenos dias andres permitenos ayudarte envianos caso datos contacto dm quedamos atentos
";0.94619
"feliperesrrepo buenos dias felipe cuentanos detalle experiencia dm reportarla area encargada quedamos atentos
";0.94618
"oamaldonados hola andres lamentamos situacion favor envianos datos nombre cedula telefono dm quedamos atentos
";0.94618
"cmauricio1978 buenos dias favor contactanos via mensaje directo atender solicitud poder ayudarte atentos
";0.94616
"jorgearmandoo buenos dias jorge permitenos colaborarte envianos caso datos contacto dm quedamos atentos
";0.94616
"cmauricio1978 buenos dias favor contactanos via mensaje directo atender solicitud poder ayudarte atentos
";0.94616
"dfmguerrero buenos dias fernando cuentanos detalle caso dm enviarlo area encargada quedamos atentos
";0.94615
